x   y   z   z_sp   dzdx   dzdx_sp   dzdy   dzdy_sp
-5.000000e+00   -5.823824e+00   3.588181e-19   3.588181e-19   3.588181e-18   3.588402e-18   1.076454e-18   1.076454e-18
-5.000000e+00   -5.822823e+00   3.598972e-19   3.598972e-19   3.598972e-18   3.599194e-18   1.079692e-18   1.079692e-18
-5.000000e+00   -5.821822e+00   3.609796e-19   3.609796e-19   3.609796e-18   3.610019e-18   1.082939e-18   1.082939e-18
-5.000000e+00   -5.820821e+00   3.620653e-19   3.620653e-19   3.620653e-18   3.620876e-18   1.086196e-18   1.086196e-18
-5.000000e+00   -5.819820e+00   3.631542e-19   3.631542e-19   3.631542e-18   3.631766e-18   1.089463e-18   1.089463e-18
-5.000000e+00   -5.818819e+00   3.642464e-19   3.642464e-19   3.642464e-18   3.642689e-18   1.092739e-18   1.092739e-18
-5.000000e+00   -5.817818e+00   3.653419e-19   3.653419e-19   3.653419e-18   3.653644e-18   1.096026e-18   1.096026e-18
-5.000000e+00   -5.816817e+00   3.664406e-19   3.664406e-19   3.664406e-18   3.664632e-18   1.099322e-18   1.099322e-18
-5.000000e+00   -5.815816e+00   3.675427e-19   3.675427e-19   3.675427e-18   3.675654e-18   1.102628e-18   1.102628e-18
-5.000000e+00   -5.814815e+00   3.686481e-19   3.686481e-19   3.686481e-18   3.686708e-18   1.105944e-18   1.105944e-18
-5.000000e+00   -5.813814e+00   3.697568e-19   3.697568e-19   3.697568e-18   3.697796e-18   1.109270e-18   1.109270e-18
-5.000000e+00   -5.812813e+00   3.708689e-19   3.708689e-19   3.708689e-18   3.708917e-18   1.112607e-18   1.112607e-18
-5.000000e+00   -5.811812e+00   3.719843e-19   3.719843e-19   3.719843e-18   3.720072e-18   1.115953e-18   1.115953e-18
-5.000000e+00   -5.810811e+00   3.731030e-19   3.731030e-19   3.731030e-18   3.731260e-18   1.119309e-18   1.119309e-18
-5.000000e+00   -5.809810e+00   3.742251e-19   3.742251e-19   3.742251e-18   3.742482e-18   1.122675e-18   1.122675e-18
-5.000000e+00   -5.808809e+00   3.753506e-19   3.753506e-19   3.753506e-18   3.753738e-18   1.126052e-18   1.126052e-18
-5.000000e+00   -5.807808e+00   3.764795e-19   3.764795e-19   3.764795e-18   3.765027e-18   1.129438e-18   1.129438e-18
-5.000000e+00   -5.806807e+00   3.776117e-19   3.776117e-19   3.776117e-18   3.776350e-18   1.132835e-18   1.132835e-18
-5.000000e+00   -5.805806e+00   3.787474e-19   3.787474e-19   3.787474e-18   3.787708e-18   1.136242e-18   1.136242e-18
-5.000000e+00   -5.804805e+00   3.798865e-19   3.798865e-19   3.798865e-18   3.799099e-18   1.139660e-18   1.139660e-18
-5.000000e+00   -5.803804e+00   3.810290e-19   3.810290e-19   3.810290e-18   3.810525e-18   1.143087e-18   1.143087e-18
-5.000000e+00   -5.802803e+00   3.821750e-19   3.821750e-19   3.821750e-18   3.821986e-18   1.146525e-18   1.146525e-18
-5.000000e+00   -5.801802e+00   3.833244e-19   3.833244e-19   3.833244e-18   3.833480e-18   1.149973e-18   1.149973e-18
